region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
California,30934 (19088 -- 47295),30934,31828,8818,19088,25834,28993,33013,36968,47295,New confirmed cases by infection date,Likely decreasing,0.79
Texas,24226 (16588 -- 32231),24226,24298,4863,16588,21069,23075,25366,27258,32231,New confirmed cases by infection date,Likely increasing,0.22
New York,12066 (7722 -- 18085),12066,12398,3233,7722,10135,11339,12801,14311,18085,New confirmed cases by infection date,Likely decreasing,0.84
Florida,11385 (5663 -- 17241),11385,11420,3572,5663,8745,10384,12405,13975,17241,New confirmed cases by infection date,Likely decreasing,0.79
Georgia,9161 (4469 -- 16755),9161,9692,3838,4469,7072,8339,10046,11682,16755,New confirmed cases by infection date,Stable,0.51
North Carolina,8692 (4922 -- 12455),8692,8671,2348,4922,6988,8062,9303,10268,12455,New confirmed cases by infection date,Likely increasing,0.34
Virginia,7889 (5896 -- 11539),7889,8233,1806,5896,7012,7539,8305,9127,11539,New confirmed cases by infection date,Increasing,0.037
Arizona,7324 (3989 -- 11590),7324,7485,2339,3989,5846,6757,7907,8893,11590,New confirmed cases by infection date,Likely decreasing,0.68
Pennsylvania,5521 (3266 -- 9262),5521,5804,1929,3266,4522,5129,5937,6686,9262,New confirmed cases by infection date,Likely decreasing,0.76
South Carolina,5451 (3684 -- 7304),5451,5473,1102,3684,4730,5179,5720,6189,7304,New confirmed cases by infection date,Likely increasing,0.29
Ohio,4240 (2271 -- 6536),4240,4317,1314,2271,3415,3946,4576,5159,6536,New confirmed cases by infection date,Decreasing,0.95
Illinois,3931 (1759 -- 6902),3931,4081,1610,1759,2950,3568,4341,5002,6902,New confirmed cases by infection date,Likely decreasing,0.85
Massachusetts,3783 (1757 -- 5877),3783,3793,1275,1757,2885,3436,4107,4645,5877,New confirmed cases by infection date,Likely decreasing,0.91
Kansas,3639 (1427 -- 7844),3639,4021,2334,1427,2572,3193,4064,4873,7844,New confirmed cases by infection date,Likely increasing,0.33
Connecticut,3524 (2003 -- 6638),3524,3830,1577,2003,2827,3241,3836,4462,6638,New confirmed cases by infection date,Stable,0.42
Louisiana,3386 (1298 -- 6705),3386,3614,1771,1298,2392,2991,3796,4479,6705,New confirmed cases by infection date,Likely decreasing,0.63
Kentucky,3315 (1505 -- 5648),3315,3429,1301,1505,2590,3070,3588,4121,5648,New confirmed cases by infection date,Stable,0.52
Tennessee,2605 (1310 -- 4626),2605,2744,1058,1310,2002,2372,2839,3324,4626,New confirmed cases by infection date,Decreasing,0.96
New Jersey,2559 (521 -- 7788),2559,3146,2311,521,1438,2064,3113,4328,7788,New confirmed cases by infection date,Likely decreasing,0.92
Alabama,2227 (1262 -- 3335),2227,2254,631,1262,1833,2071,2380,2648,3335,New confirmed cases by infection date,Likely decreasing,0.94
Michigan,2096 (853 -- 4955),2096,2416,1434,853,1498,1854,2380,2953,4955,New confirmed cases by infection date,Likely decreasing,0.67
Washington,1995 (994 -- 3674),1995,2135,868,994,1550,1823,2185,2591,3674,New confirmed cases by infection date,Likely decreasing,0.68
Mississippi,1903 (1300 -- 2719),1903,1946,446,1300,1654,1804,2007,2196,2719,New confirmed cases by infection date,Likely decreasing,0.7
Oklahoma,1860 (749 -- 3707),1860,2003,932,749,1335,1641,2095,2540,3707,New confirmed cases by infection date,Likely decreasing,0.92
Wisconsin,1626 (619 -- 3082),1626,1737,736,619,1265,1471,1821,2187,3082,New confirmed cases by infection date,Likely decreasing,0.86
Rhode Island,1580 (959 -- 2863),1580,1701,620,959,1280,1462,1717,1974,2863,New confirmed cases by infection date,Likely increasing,0.35
Missouri,1535 (627 -- 2858),1535,1617,709,627,1108,1368,1713,2016,2858,New confirmed cases by infection date,Likely decreasing,0.91
Arkansas,1301 (480 -- 2667),1301,1402,717,480,767,1048,1545,1952,2667,New confirmed cases by infection date,Likely decreasing,0.93
Nevada,1204 (548 -- 1930),1204,1216,418,548,919,1101,1312,1488,1930,New confirmed cases by infection date,Likely decreasing,0.94
Utah,1180 (441 -- 2439),1180,1287,629,441,826,1038,1350,1648,2439,New confirmed cases by infection date,Decreasing,0.95
West Virginia,937 (587 -- 1373),937,951,239,587,784,879,997,1101,1373,New confirmed cases by infection date,Likely decreasing,0.88
New Hampshire,848 (528 -- 1408),848,897,297,528,701,789,908,1035,1408,New confirmed cases by infection date,Stable,0.42
Colorado,805 (371 -- 1576),805,871,386,371,600,726,905,1073,1576,New confirmed cases by infection date,Decreasing,0.97
Iowa,701 (256 -- 1700),701,803,491,256,474,611,806,1000,1700,New confirmed cases by infection date,Likely decreasing,0.82
Nebraska,650 (283 -- 1231),650,691,299,283,486,581,716,847,1231,New confirmed cases by infection date,Likely decreasing,0.76
Idaho,597 (387 -- 879),597,610,151,387,510,563,631,693,879,New confirmed cases by infection date,Likely decreasing,0.91
Delaware,594 (300 -- 1012),594,617,226,300,462,543,647,741,1012,New confirmed cases by infection date,Likely decreasing,0.72
Oregon,575 (241 -- 1028),575,597,247,241,415,515,641,750,1028,New confirmed cases by infection date,Likely decreasing,0.94
Puerto Rico,572 (323 -- 865),572,583,173,323,464,528,616,691,865,New confirmed cases by infection date,Likely decreasing,0.72
New Mexico,472 (188 -- 946),472,508,238,188,337,417,531,641,946,New confirmed cases by infection date,Decreasing,0.97
Maine,345 (144 -- 755),345,387,207,144,246,305,392,479,755,New confirmed cases by infection date,Likely decreasing,0.81
Montana,329 (167 -- 550),329,339,118,167,258,302,356,403,550,New confirmed cases by infection date,Likely decreasing,0.8
District of Columbia,300 (195 -- 452),300,310,81,195,254,283,320,354,452,New confirmed cases by infection date,Stable,0.41
Wyoming,280 (132 -- 564),280,307,145,132,212,253,312,369,564,New confirmed cases by infection date,Stable,0.57
Vermont,170 (66 -- 348),170,183,89,66,122,149,190,228,348,New confirmed cases by infection date,Stable,0.52
Hawaii,162 (93 -- 219),162,160,37,93,137,154,169,183,219,New confirmed cases by infection date,Likely increasing,0.38
Alaska,145 (61 -- 243),145,148,56,61,110,131,159,182,243,New confirmed cases by infection date,Likely decreasing,0.93
South Dakota,144 (71 -- 247),144,149,53,71,111,131,157,181,247,New confirmed cases by infection date,Decreasing,0.99
North Dakota,95 (34 -- 190),95,102,48,34,67,83,107,129,190,New confirmed cases by infection date,Likely decreasing,0.88
Virgin Islands,86 (10 -- 5087),86,1321,7218,10,30,54,147,412,5087,New confirmed cases by infection date,Likely increasing,0.11
Guam,16 (4 -- 55),16,22,23,4,10,13,19,26,55,New confirmed cases by infection date,Likely increasing,0.3
Virgin Islands,1.5 (0.9 -- 4.6),1.5,2,1.2,0.9,1.1,1.3,1.8,2.3,4.6,Effective reproduction no.,Likely increasing,0.11
Guam,1.1 (0.73 -- 1.7),1.1,1.2,0.31,0.73,0.96,1.1,1.2,1.3,1.7,Effective reproduction no.,Likely increasing,0.3
Virginia,1.1 (1 -- 1.2),1.1,1.1,0.07,1,1.1,1.1,1.1,1.1,1.2,Effective reproduction no.,Increasing,0.037
Connecticut,1 (0.86 -- 1.2),1,1,0.11,0.86,0.96,1,1,1.1,1.2,Effective reproduction no.,Stable,0.42
District of Columbia,1 (0.87 -- 1.2),1,1,0.086,0.87,0.96,1,1,1.1,1.2,Effective reproduction no.,Stable,0.41
Georgia,1 (0.79 -- 1.2),1,0.99,0.12,0.79,0.92,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.51
Hawaii,1 (0.84 -- 1.1),1,1,0.075,0.84,0.97,1,1,1,1.1,Effective reproduction no.,Likely increasing,0.38
Kansas,1 (0.85 -- 1.2),1,1,0.11,0.85,0.98,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.33
New Hampshire,1 (0.86 -- 1.2),1,1,0.11,0.86,0.96,0.99,1,1.1,1.2,Effective reproduction no.,Stable,0.42
North Carolina,1 (0.9 -- 1.1),1,1,0.066,0.9,0.98,1,1,1.1,1.1,Effective reproduction no.,Likely increasing,0.34
Rhode Island,1 (0.89 -- 1.2),1,1,0.1,0.89,0.98,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.35
South Carolina,1 (0.92 -- 1.1),1,1,0.058,0.92,0.99,1,1,1.1,1.1,Effective reproduction no.,Likely increasing,0.29
Texas,1 (0.94 -- 1.1),1,1,0.051,0.94,1,1,1,1.1,1.1,Effective reproduction no.,Likely increasing,0.22
Kentucky,0.99 (0.71 -- 1.1),0.99,0.97,0.13,0.71,0.91,0.97,1,1.1,1.1,Effective reproduction no.,Stable,0.52
Vermont,0.99 (0.65 -- 1.3),0.99,0.98,0.18,0.65,0.87,0.95,1,1.1,1.3,Effective reproduction no.,Stable,0.52
Puerto Rico,0.98 (0.85 -- 1),0.98,0.97,0.065,0.85,0.94,0.96,0.99,1,1,Effective reproduction no.,Likely decreasing,0.72
Wyoming,0.98 (0.73 -- 1.2),0.98,0.98,0.15,0.73,0.88,0.94,1,1.1,1.2,Effective reproduction no.,Stable,0.57
Mississippi,0.97 (0.87 -- 1.1),0.97,0.97,0.065,0.87,0.93,0.96,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.7
Northern Mariana Islands,0.97 (0.67 -- 1.2),0.97,0.96,0.17,0.67,0.9,0.95,0.99,1,1.2,Effective reproduction no.,Likely decreasing,0.64
Arizona,0.96 (0.79 -- 1.1),0.96,0.95,0.092,0.79,0.91,0.94,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.68
Louisiana,0.96 (0.66 -- 1.2),0.96,0.94,0.16,0.66,0.85,0.92,0.99,1,1.2,Effective reproduction no.,Likely decreasing,0.63
Washington,0.96 (0.75 -- 1.1),0.96,0.95,0.12,0.75,0.88,0.93,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.68
Pennsylvania,0.94 (0.78 -- 1.1),0.94,0.94,0.099,0.78,0.88,0.92,0.96,1,1.1,Effective reproduction no.,Likely decreasing,0.76
California,0.93 (0.77 -- 1.1),0.93,0.93,0.1,0.77,0.87,0.91,0.95,0.99,1.1,Effective reproduction no.,Likely decreasing,0.79
Delaware,0.93 (0.67 -- 1.1),0.93,0.92,0.13,0.67,0.85,0.9,0.96,1,1.1,Effective reproduction no.,Likely decreasing,0.72
Florida,0.93 (0.72 -- 1),0.93,0.92,0.1,0.72,0.85,0.91,0.96,0.99,1,Effective reproduction no.,Likely decreasing,0.79
Michigan,0.93 (0.68 -- 1.2),0.93,0.94,0.17,0.68,0.84,0.9,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.67
Montana,0.93 (0.71 -- 1.1),0.93,0.91,0.11,0.71,0.85,0.9,0.95,0.99,1.1,Effective reproduction no.,Likely decreasing,0.8
Idaho,0.92 (0.81 -- 1),0.92,0.92,0.068,0.81,0.88,0.91,0.93,0.96,1,Effective reproduction no.,Likely decreasing,0.91
West Virginia,0.92 (0.77 -- 1),0.92,0.91,0.081,0.77,0.86,0.9,0.94,0.97,1,Effective reproduction no.,Likely decreasing,0.88
Nebraska,0.91 (0.65 -- 1.1),0.91,0.9,0.14,0.65,0.82,0.88,0.94,0.99,1.1,Effective reproduction no.,Likely decreasing,0.76
Alabama,0.9 (0.74 -- 1),0.9,0.89,0.086,0.74,0.85,0.88,0.92,0.95,1,Effective reproduction no.,Likely decreasing,0.94
Massachusetts,0.89 (0.64 -- 1),0.89,0.87,0.12,0.64,0.8,0.86,0.91,0.95,1,Effective reproduction no.,Likely decreasing,0.91
New York,0.89 (0.72 -- 1.1),0.89,0.9,0.11,0.72,0.82,0.87,0.92,0.96,1.1,Effective reproduction no.,Likely decreasing,0.84
Illinois,0.88 (0.61 -- 1.1),0.88,0.87,0.14,0.61,0.79,0.85,0.91,0.96,1.1,Effective reproduction no.,Likely decreasing,0.85
Alaska,0.86 (0.59 -- 1),0.86,0.84,0.13,0.59,0.76,0.83,0.88,0.92,1,Effective reproduction no.,Likely decreasing,0.93
Nevada,0.86 (0.6 -- 1),0.86,0.84,0.12,0.6,0.77,0.83,0.89,0.93,1,Effective reproduction no.,Likely decreasing,0.94
Missouri,0.85 (0.58 -- 1),0.85,0.83,0.14,0.58,0.75,0.81,0.88,0.93,1,Effective reproduction no.,Likely decreasing,0.91
Ohio,0.85 (0.65 -- 1),0.85,0.84,0.11,0.65,0.78,0.83,0.88,0.92,1,Effective reproduction no.,Decreasing,0.95
Wisconsin,0.85 (0.55 -- 1.1),0.85,0.84,0.16,0.55,0.74,0.8,0.89,0.95,1.1,Effective reproduction no.,Likely decreasing,0.86
Maine,0.84 (0.57 -- 1.2),0.84,0.85,0.18,0.57,0.73,0.8,0.89,0.97,1.2,Effective reproduction no.,Likely decreasing,0.81
North Dakota,0.83 (0.53 -- 1.1),0.83,0.82,0.16,0.53,0.72,0.79,0.87,0.93,1.1,Effective reproduction no.,Likely decreasing,0.88
Tennessee,0.83 (0.64 -- 0.99),0.83,0.82,0.11,0.64,0.76,0.8,0.85,0.89,0.99,Effective reproduction no.,Decreasing,0.96
Iowa,0.82 (0.51 -- 1.2),0.82,0.83,0.21,0.51,0.69,0.77,0.86,0.94,1.2,Effective reproduction no.,Likely decreasing,0.82
Arkansas,0.81 (0.53 -- 1),0.81,0.8,0.15,0.53,0.69,0.75,0.86,0.93,1,Effective reproduction no.,Likely decreasing,0.93
Oklahoma,0.81 (0.54 -- 1),0.81,0.8,0.15,0.54,0.71,0.77,0.85,0.91,1,Effective reproduction no.,Likely decreasing,0.92
Oregon,0.8 (0.52 -- 1),0.8,0.79,0.15,0.52,0.69,0.76,0.84,0.89,1,Effective reproduction no.,Likely decreasing,0.94
South Dakota,0.78 (0.58 -- 0.94),0.78,0.78,0.11,0.58,0.71,0.75,0.81,0.85,0.94,Effective reproduction no.,Decreasing,0.99
Utah,0.78 (0.5 -- 1),0.78,0.77,0.15,0.5,0.67,0.74,0.81,0.87,1,Effective reproduction no.,Decreasing,0.95
New Mexico,0.73 (0.46 -- 0.98),0.73,0.73,0.16,0.46,0.63,0.69,0.77,0.84,0.98,Effective reproduction no.,Decreasing,0.97
Colorado,0.7 (0.47 -- 0.95),0.7,0.71,0.15,0.47,0.6,0.67,0.74,0.8,0.95,Effective reproduction no.,Decreasing,0.97
New Jersey,0.7 (0.33 -- 1),0.7,0.7,0.22,0.33,0.55,0.64,0.76,0.86,1,Effective reproduction no.,Likely decreasing,0.92
Northern Mariana Islands,0 (0 -- 1),0,0,0,0,0,0,0,0,1,New confirmed cases by infection date,Likely decreasing,0.64
