region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Essex,150 (99 -- 214),150,152,36,99,128,141,158,173,214,New confirmed cases by infection date,Likely increasing,0.2
Hampshire,136 (76 -- 220),136,141,44,76,110,126,148,167,220,New confirmed cases by infection date,Likely increasing,0.33
"Bournemouth, Christchurch and Poole",106 (47 -- 260),106,124,75,47,77,94,122,149,260,New confirmed cases by infection date,Increasing,0.022
Norfolk,104 (68 -- 153),104,106,26,68,88,98,110,121,153,New confirmed cases by infection date,Increasing,0.026
Hertfordshire,92 (48 -- 137),92,92,27,48,74,85,98,109,137,New confirmed cases by infection date,Likely increasing,0.17
Cumbria,81 (41 -- 156),81,87,37,41,61,73,89,104,156,New confirmed cases by infection date,Likely increasing,0.058
Suffolk,78 (47 -- 120),78,80,23,47,65,73,83,92,120,New confirmed cases by infection date,Likely increasing,0.2
Southampton,76 (38 -- 139),76,81,31,38,59,69,83,96,139,New confirmed cases by infection date,Likely increasing,0.13
Staffordshire,76 (43 -- 123),76,79,25,43,62,70,82,92,123,New confirmed cases by infection date,Likely increasing,0.17
Leeds,70 (40 -- 122),70,74,27,40,56,64,76,88,122,New confirmed cases by infection date,Increasing,0.014
Surrey,65 (33 -- 121),65,70,28,33,50,60,72,84,121,New confirmed cases by infection date,Stable,0.44
Wiltshire,65 (35 -- 122),65,70,30,35,51,59,72,83,122,New confirmed cases by infection date,Increasing,0.025
Dorset,64 (35 -- 115),64,68,26,35,51,58,70,81,115,New confirmed cases by infection date,Increasing,0.014
Oxfordshire,63 (23 -- 108),63,64,27,23,42,54,71,83,108,New confirmed cases by infection date,Stable,0.41
Buckinghamshire,62 (43 -- 92),62,64,15,43,54,59,66,72,92,New confirmed cases by infection date,Increasing,0.014
East Sussex,62 (39 -- 159),62,77,60,39,50,57,68,83,159,New confirmed cases by infection date,Increasing,0.022
Walsall,60 (28 -- 131),60,68,36,28,44,53,67,82,131,New confirmed cases by infection date,Increasing,0.039
