Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alberta,1283 (442 -- 2755),Unsure,0.94 (0.64 -- 1.1),-0.018 (-0.1 -- 0.032),-39 (21 -- -6.7)
British Columbia,460 (205 -- 918),Unsure,0.91 (0.7 -- 1.1),-0.026 (-0.087 -- 0.031),-27 (22 -- -8)
Manitoba,149 (76 -- 262),Unsure,0.85 (0.65 -- 1),-0.041 (-0.1 -- 0.01),-17 (68 -- -6.8)
New Brunswick,1 (0 -- 44),Unsure,0.91 (0.22 -- 3.3),-0.025 (-0.25 -- 0.52),-28 (1.3 -- -2.7)
Newfoundland and Labrador,3 (0 -- 15),Unsure,1.1 (0.69 -- 1.9),0.022 (-0.088 -- 0.22),32 (3.2 -- -7.9)
Nova Scotia,0 (0 -- 8),Unsure,0.61 (0.22 -- 1.5),-0.11 (-0.25 -- 0.14),-6.1 (5.1 -- -2.7)
Nunavut,0 (0 -- 1),Unsure,0.2 (0.0013 -- 1.3),-0.26 (-0.39 -- 0.076),-2.6 (9.2 -- -1.8)
Ontario,2653 (2182 -- 3147),Increasing,1.1 (1 -- 1.1),0.016 (-0.001 -- 0.032),44 (22 -- -680)
Prince Edward Island,0 (0 -- 2),Unsure,0.88 (0.18 -- 1.3),-0.034 (-0.27 -- 0.082),-20 (8.5 -- -2.6)
Quebec,2943 (2035 -- 5132),Unsure,1.1 (0.98 -- 1.6),0.04 (-0.0068 -- 0.16),17 (4.2 -- -100)
Saskatchewan,154 (80 -- 267),Unsure,0.88 (0.68 -- 1.1),-0.035 (-0.092 -- 0.019),-20 (37 -- -7.5)
Yukon,0 (0 -- 0),Unsure,0.14 (0.0013 -- 1.2),-0.29 (-0.39 -- 0.057),-2.4 (12 -- -1.8)
